Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
518;'s-Gravenhage (gemeente);545838;2-9-2020;15-9-2020;1416;259,4;11;2;2;0,4
796;'s-Hertogenbosch;155111;2-9-2020;15-9-2020;76;49;0;0;0;0
1680;Aa en Hunze;25445;2-9-2020;15-9-2020;2;7,9;0;0;0;0
358;Aalsmeer;31859;2-9-2020;15-9-2020;31;97,3;0;0;0;0
197;Aalten;27121;2-9-2020;15-9-2020;7;25,8;0;0;0;0
59;Achtkarspelen;27843;2-9-2020;15-9-2020;4;14,4;0;0;0;0
482;Alblasserdam;20165;2-9-2020;15-9-2020;18;89,3;0;0;0;0
613;Albrandswaard;25590;2-9-2020;15-9-2020;34;132,9;0;0;0;0
361;Alkmaar;109436;2-9-2020;15-9-2020;47;42,9;1;0,9;0;0
141;Almelo;73107;2-9-2020;15-9-2020;24;32,8;0;0;0;0
34;Almere;211893;2-9-2020;15-9-2020;262;123,6;2;0,9;1;0,5
484;Alphen aan den Rijn;111897;2-9-2020;15-9-2020;115;102,8;1;0,9;1;0,9
1723;Alphen-Chaam;10203;2-9-2020;15-9-2020;7;68,6;0;0;0;0
1959;Altena;55967;2-9-2020;15-9-2020;5;8,9;0;0;0;0
60;Ameland;3716;2-9-2020;15-9-2020;0;0;0;0;0;0
307;Amersfoort;157276;2-9-2020;15-9-2020;137;87,1;4;2,5;0;0
362;Amstelveen;91675;2-9-2020;15-9-2020;124;135,3;0;0;1;1,1
363;Amsterdam;872757;2-9-2020;15-9-2020;2332;267,2;33;3,8;4;0,5
200;Apeldoorn;163818;2-9-2020;15-9-2020;52;31,7;1;0,6;0;0
3;Appingedam;11642;2-9-2020;15-9-2020;4;34,4;0;0;0;0
202;Arnhem;161348;2-9-2020;15-9-2020;101;62,6;1;0,6;1;0,6
106;Assen;68599;2-9-2020;15-9-2020;14;20,4;0;0;0;0
743;Asten;16721;2-9-2020;15-9-2020;10;59,8;0;0;0;0
744;Baarle-Nassau;6859;2-9-2020;15-9-2020;0;0;0;0;0;0
308;Baarn;24868;2-9-2020;15-9-2020;14;56,3;0;0;0;0
489;Barendrecht;48714;2-9-2020;15-9-2020;81;166,3;0;0;0;0
203;Barneveld;59082;2-9-2020;15-9-2020;10;16,9;0;0;1;1,7
888;Beek (L.);15865;2-9-2020;15-9-2020;2;12,6;0;0;0;0
1954;Beekdaelen;35938;2-9-2020;15-9-2020;13;36,2;0;0;0;0
370;Beemster;10022;2-9-2020;15-9-2020;6;59,9;0;0;0;0
889;Beesel;13482;2-9-2020;15-9-2020;0;0;0;0;0;0
1945;Berg en Dal;34992;2-9-2020;15-9-2020;18;51,4;2;5,7;0;0
1724;Bergeijk;18635;2-9-2020;15-9-2020;49;262,9;0;0;0;0
893;Bergen (L.);13085;2-9-2020;15-9-2020;6;45,9;0;0;0;0
373;Bergen (NH.);29839;2-9-2020;15-9-2020;9;30,2;0;0;0;0
748;Bergen op Zoom;67496;2-9-2020;15-9-2020;35;51,9;1;1,5;0;0
1859;Berkelland;43747;2-9-2020;15-9-2020;14;32;1;2,3;0;0
1721;Bernheze;31240;2-9-2020;15-9-2020;13;41,6;0;0;0;0
753;Best;29988;2-9-2020;15-9-2020;17;56,7;0;0;0;0
209;Beuningen;25890;2-9-2020;15-9-2020;19;73,4;0;0;0;0
375;Beverwijk;41626;2-9-2020;15-9-2020;41;98,5;0;0;0;0
1728;Bladel;20390;2-9-2020;15-9-2020;17;83,4;0;0;0;0
376;Blaricum;11540;2-9-2020;15-9-2020;9;78;0;0;0;0
377;Bloemendaal;23571;2-9-2020;15-9-2020;29;123;0;0;0;0
1901;Bodegraven-Reeuwijk;34872;2-9-2020;15-9-2020;38;109;0;0;0;0
755;Boekel;10785;2-9-2020;15-9-2020;4;37,1;0;0;0;0
1681;Borger-Odoorn;25559;2-9-2020;15-9-2020;1;3,9;0;0;0;0
147;Borne;23312;2-9-2020;15-9-2020;5;21,4;0;0;0;0
654;Borsele;22739;2-9-2020;15-9-2020;8;35,2;0;0;0;0
756;Boxmeer;29365;2-9-2020;15-9-2020;4;13,6;0;0;0;0
757;Boxtel;30801;2-9-2020;15-9-2020;6;19,5;0;0;0;0
758;Breda;184069;2-9-2020;15-9-2020;81;44;0;0;0;0
501;Brielle;17271;2-9-2020;15-9-2020;3;17,4;0;0;0;0
1876;Bronckhorst;36055;2-9-2020;15-9-2020;13;36,1;0;0;0;0
213;Brummen;20726;2-9-2020;15-9-2020;10;48,2;0;0;0;0
899;Brunssum;27821;2-9-2020;15-9-2020;21;75,5;1;3,6;0;0
312;Bunnik;15191;2-9-2020;15-9-2020;18;118,5;1;6,6;0;0
313;Bunschoten;21866;2-9-2020;15-9-2020;18;82,3;0;0;0;0
214;Buren;26749;2-9-2020;15-9-2020;6;22,4;0;0;0;0
502;Capelle aan den IJssel;67122;2-9-2020;15-9-2020;69;102,8;1;1,5;1;1,5
383;Castricum;35986;2-9-2020;15-9-2020;11;30,6;0;0;0;0
109;Coevorden;35297;2-9-2020;15-9-2020;1;2,8;0;0;0;0
1706;Cranendonck;21138;2-9-2020;15-9-2020;1;4,7;0;0;0;0
1684;Cuijk;25130;2-9-2020;15-9-2020;9;35,8;0;0;0;0
216;Culemborg;28955;2-9-2020;15-9-2020;24;82,9;0;0;0;0
148;Dalfsen;28587;2-9-2020;15-9-2020;9;31,5;0;0;0;0
1891;Dantumadiel;18922;2-9-2020;15-9-2020;7;37;0;0;0;0
310;De Bilt;43137;2-9-2020;15-9-2020;23;53,3;1;2,3;0;0
1940;De Fryske Marren;51564;2-9-2020;15-9-2020;4;7,8;0;0;0;0
736;De Ronde Venen;44456;2-9-2020;15-9-2020;40;90;1;2,2;0;0
1690;De Wolden;24330;2-9-2020;15-9-2020;7;28,8;0;0;0;0
503;Delft;103595;2-9-2020;15-9-2020;305;294,4;0;0;0;0
10;Delfzijl;24678;2-9-2020;15-9-2020;3;12,2;0;0;0;0
400;Den Helder;56296;2-9-2020;15-9-2020;6;10,7;1;1,8;0;0
762;Deurne;32471;2-9-2020;15-9-2020;19;58,5;0;0;0;0
150;Deventer;100719;2-9-2020;15-9-2020;31;30,8;0;0;0;0
384;Diemen;30780;2-9-2020;15-9-2020;51;165,7;0;0;0;0
1774;Dinkelland;26461;2-9-2020;15-9-2020;3;11,3;0;0;0;0
221;Doesburg;11077;2-9-2020;15-9-2020;10;90,3;0;0;0;0
222;Doetinchem;58001;2-9-2020;15-9-2020;39;67,2;1;1,7;0;0
766;Dongen;26222;2-9-2020;15-9-2020;12;45,8;0;0;0;0
505;Dordrecht;119284;2-9-2020;15-9-2020;114;95,6;1;0,8;2;1,7
498;Drechterland;19719;2-9-2020;15-9-2020;9;45,6;0;0;0;0
1719;Drimmelen;27272;2-9-2020;15-9-2020;14;51,3;0;0;0;0
303;Dronten;41555;2-9-2020;15-9-2020;11;26,5;0;0;0;0
225;Druten;18926;2-9-2020;15-9-2020;4;21,1;0;0;0;0
226;Duiven;25126;2-9-2020;15-9-2020;13;51,7;0;0;0;0
1711;Echt-Susteren;31610;2-9-2020;15-9-2020;7;22,1;0;0;0;0
385;Edam-Volendam;36197;2-9-2020;15-9-2020;20;55,3;0;0;0;0
228;Ede;117165;2-9-2020;15-9-2020;92;78,5;1;0,9;0;0
317;Eemnes;9247;2-9-2020;15-9-2020;3;32,4;0;0;0;0
770;Eersel;19313;2-9-2020;15-9-2020;29;150,2;0;0;0;0
1903;Eijsden-Margraten;25768;2-9-2020;15-9-2020;6;23,3;0;0;0;0
772;Eindhoven;234394;2-9-2020;15-9-2020;175;74,7;1;0,4;0;0
