Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
518;'s-Gravenhage (gemeente);545838;25-3-2020;7-4-2020;356;65,2;145;26,6;43;7,9
796;'s-Hertogenbosch;155111;25-3-2020;7-4-2020;148;95,4;45;29;32;20,6
1680;Aa en Hunze;25445;25-3-2020;7-4-2020;6;23,6;0;0;0;0
358;Aalsmeer;31859;25-3-2020;7-4-2020;12;37,7;5;15,7;2;6,3
197;Aalten;27121;25-3-2020;7-4-2020;15;55,3;5;18,4;3;11,1
59;Achtkarspelen;27843;25-3-2020;7-4-2020;4;14,4;0;0;0;0
482;Alblasserdam;20165;25-3-2020;7-4-2020;8;39,7;4;19,8;0;0
613;Albrandswaard;25590;25-3-2020;7-4-2020;25;97,7;6;23,4;3;11,7
361;Alkmaar;109436;25-3-2020;7-4-2020;90;82,2;26;23,8;12;11
141;Almelo;73107;25-3-2020;7-4-2020;36;49,2;13;17,8;4;5,5
34;Almere;211893;25-3-2020;7-4-2020;102;48,1;64;30,2;4;1,9
484;Alphen aan den Rijn;111897;25-3-2020;7-4-2020;54;48,3;31;27,7;7;6,3
1723;Alphen-Chaam;10203;25-3-2020;7-4-2020;22;215,6;7;68,6;4;39,2
1959;Altena;55967;25-3-2020;7-4-2020;32;57,2;14;25;4;7,1
60;Ameland;3716;25-3-2020;7-4-2020;0;0;0;0;0;0
307;Amersfoort;157276;25-3-2020;7-4-2020;54;34,3;30;19,1;9;5,7
362;Amstelveen;91675;25-3-2020;7-4-2020;111;121,1;31;33,8;19;20,7
363;Amsterdam;872757;25-3-2020;7-4-2020;598;68,5;254;29,1;65;7,4
200;Apeldoorn;163818;25-3-2020;7-4-2020;103;62,9;38;23,2;13;7,9
3;Appingedam;11642;25-3-2020;7-4-2020;2;17,2;2;17,2;0;0
202;Arnhem;161348;25-3-2020;7-4-2020;83;51,4;34;21,1;7;4,3
106;Assen;68599;25-3-2020;7-4-2020;20;29,2;8;11,7;2;2,9
743;Asten;16721;25-3-2020;7-4-2020;23;137,6;9;53,8;2;12
744;Baarle-Nassau;6859;25-3-2020;7-4-2020;11;160,4;5;72,9;0;0
308;Baarn;24868;25-3-2020;7-4-2020;16;64,3;7;28,1;0;0
489;Barendrecht;48714;25-3-2020;7-4-2020;41;84,2;18;37;2;4,1
203;Barneveld;59082;25-3-2020;7-4-2020;41;69,4;9;15,2;0;0
888;Beek (L.);15865;25-3-2020;7-4-2020;9;56,7;5;31,5;2;12,6
1954;Beekdaelen;35938;25-3-2020;7-4-2020;32;89;15;41,7;6;16,7
370;Beemster;10022;25-3-2020;7-4-2020;5;49,9;3;29,9;0;0
889;Beesel;13482;25-3-2020;7-4-2020;15;111,3;10;74,2;6;44,5
1945;Berg en Dal;34992;25-3-2020;7-4-2020;52;148,6;17;48,6;10;28,6
1724;Bergeijk;18635;25-3-2020;7-4-2020;17;91,2;8;42,9;3;16,1
893;Bergen (L.);13085;25-3-2020;7-4-2020;7;53,5;5;38,2;1;7,6
373;Bergen (NH.);29839;25-3-2020;7-4-2020;25;83,8;8;26,8;1;3,4
