Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
518;'s-Gravenhage (gemeente);545838;1-4-2020;14-4-2020;431;79;116;21,3;65;11,9
796;'s-Hertogenbosch;155111;1-4-2020;14-4-2020;127;81,9;27;17,4;29;18,7
1680;Aa en Hunze;25445;1-4-2020;14-4-2020;6;23,6;0;0;0;0
358;Aalsmeer;31859;1-4-2020;14-4-2020;10;31,4;4;12,6;0;0
197;Aalten;27121;1-4-2020;14-4-2020;20;73,7;2;7,4;2;7,4
59;Achtkarspelen;27843;1-4-2020;14-4-2020;3;10,8;0;0;0;0
482;Alblasserdam;20165;1-4-2020;14-4-2020;15;74,4;2;9,9;1;5
613;Albrandswaard;25590;1-4-2020;14-4-2020;28;109,4;4;15,6;2;7,8
361;Alkmaar;109436;1-4-2020;14-4-2020;114;104,2;15;13,7;14;12,8
141;Almelo;73107;1-4-2020;14-4-2020;42;57,5;7;9,6;2;2,7
34;Almere;211893;1-4-2020;14-4-2020;95;44,8;35;16,5;5;2,4
484;Alphen aan den Rijn;111897;1-4-2020;14-4-2020;52;46,5;16;14,3;10;8,9
1723;Alphen-Chaam;10203;1-4-2020;14-4-2020;11;107,8;3;29,4;0;0
1959;Altena;55967;1-4-2020;14-4-2020;36;64,3;7;12,5;8;14,3
60;Ameland;3716;1-4-2020;14-4-2020;0;0;0;0;0;0
307;Amersfoort;157276;1-4-2020;14-4-2020;58;36,9;18;11,4;7;4,5
362;Amstelveen;91675;1-4-2020;14-4-2020;108;117,8;17;18,5;23;25,1
363;Amsterdam;872757;1-4-2020;14-4-2020;596;68,3;182;20,9;83;9,5
200;Apeldoorn;163818;1-4-2020;14-4-2020;123;75,1;26;15,9;22;13,4
3;Appingedam;11642;1-4-2020;14-4-2020;1;8,6;1;8,6;0;0
202;Arnhem;161348;1-4-2020;14-4-2020;107;66,3;18;11,2;12;7,4
106;Assen;68599;1-4-2020;14-4-2020;15;21,9;3;4,4;0;0
743;Asten;16721;1-4-2020;14-4-2020;30;179,4;8;47,8;4;23,9
744;Baarle-Nassau;6859;1-4-2020;14-4-2020;3;43,7;0;0;0;0
308;Baarn;24868;1-4-2020;14-4-2020;17;68,4;3;12,1;3;12,1
489;Barendrecht;48714;1-4-2020;14-4-2020;38;78;11;22,6;4;8,2
203;Barneveld;59082;1-4-2020;14-4-2020;46;77,9;5;8,5;3;5,1
888;Beek (L.);15865;1-4-2020;14-4-2020;10;63;4;25,2;2;12,6
1954;Beekdaelen;35938;1-4-2020;14-4-2020;40;111,3;11;30,6;10;27,8
370;Beemster;10022;1-4-2020;14-4-2020;2;20;1;10;0;0
889;Beesel;13482;1-4-2020;14-4-2020;17;126,1;9;66,8;4;29,7
1945;Berg en Dal;34992;1-4-2020;14-4-2020;48;137,2;9;25,7;5;14,3
1724;Bergeijk;18635;1-4-2020;14-4-2020;18;96,6;4;21,5;3;16,1
893;Bergen (L.);13085;1-4-2020;14-4-2020;8;61,1;2;15,3;2;15,3
373;Bergen (NH.);29839;1-4-2020;14-4-2020;18;60,3;3;10,1;2;6,7
748;Bergen op Zoom;67496;1-4-2020;14-4-2020;37;54,8;6;8,9;1;1,5
1859;Berkelland;43747;1-4-2020;14-4-2020;26;59,4;4;9,1;1;2,3
1721;Bernheze;31240;1-4-2020;14-4-2020;71;227,3;13;41,6;20;64
753;Best;29988;1-4-2020;14-4-2020;15;50;6;20;3;10
209;Beuningen;25890;1-4-2020;14-4-2020;14;54,1;5;19,3;0;0
375;Beverwijk;41626;1-4-2020;14-4-2020;31;74,5;6;14,4;3;7,2
1728;Bladel;20390;1-4-2020;14-4-2020;17;83,4;6;29,4;2;9,8
376;Blaricum;11540;1-4-2020;14-4-2020;7;60,7;0;0;2;17,3
377;Bloemendaal;23571;1-4-2020;14-4-2020;10;42,4;2;8,5;3;12,7
1901;Bodegraven-Reeuwijk;34872;1-4-2020;14-4-2020;11;31,5;2;5,7;0;0
755;Boekel;10785;1-4-2020;14-4-2020;17;157,6;4;37,1;4;37,1
1681;Borger-Odoorn;25559;1-4-2020;14-4-2020;2;7,8;1;3,9;1;3,9
147;Borne;23312;1-4-2020;14-4-2020;17;72,9;2;8,6;2;8,6
654;Borsele;22739;1-4-2020;14-4-2020;12;52,8;2;8,8;0;0
756;Boxmeer;29365;1-4-2020;14-4-2020;41;139,6;3;10,2;10;34,1
757;Boxtel;30801;1-4-2020;14-4-2020;14;45,5;4;13;3;9,7
758;Breda;184069;1-4-2020;14-4-2020;104;56,5;12;6,5;21;11,4
501;Brielle;17271;1-4-2020;14-4-2020;11;63,7;3;17,4;0;0
1876;Bronckhorst;36055;1-4-2020;14-4-2020;18;49,9;3;8,3;3;8,3
213;Brummen;20726;1-4-2020;14-4-2020;13;62,7;8;38,6;3;14,5
899;Brunssum;27821;1-4-2020;14-4-2020;28;100,6;11;39,5;3;10,8
312;Bunnik;15191;1-4-2020;14-4-2020;8;52,7;3;19,7;1;6,6
