Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
518;'s-Gravenhage;545838;25-11-2020;08-12-2020;1867;342;32;5,9;7;1,3
14;Groningen;232874;25-11-2020;08-12-2020;520;223,3;4;1,7;3;1,3
1729;Gulpen-Wittem;14171;25-11-2020;08-12-2020;59;416,3;1;7,1;0;0
158;Haaksbergen;24311;25-11-2020;08-12-2020;162;666,4;1;4,1;4;16,5
392;Haarlem;162902;25-11-2020;08-12-2020;647;397,2;10;6,1;15;9,2
394;Haarlemmermeer;156002;25-11-2020;08-12-2020;742;475,6;3;1,9;1;0,6
1655;Halderberge;30284;25-11-2020;08-12-2020;87;287,3;2;6,6;1;3,3
160;Hardenberg;60948;25-11-2020;08-12-2020;162;265,8;1;1,6;4;6,6
243;Harderwijk;48414;25-11-2020;08-12-2020;239;493,7;1;2,1;0;0
523;Hardinxveld-Giessendam;18295;25-11-2020;08-12-2020;148;809;1;5,5;0;0
72;Harlingen;15722;25-11-2020;08-12-2020;31;197,2;0;0;0;0
244;Hattem;12209;25-11-2020;08-12-2020;37;303,1;1;8,2;0;0
396;Heemskerk;39182;25-11-2020;08-12-2020;224;571,7;2;5,1;1;2,6
397;Heemstede;27234;25-11-2020;08-12-2020;144;528,8;2;7,3;8;29,4
246;Heerde;18589;25-11-2020;08-12-2020;24;129,1;0;0;0;0
74;Heerenveen;50493;25-11-2020;08-12-2020;76;150,5;0;0;1;2
398;Heerhugowaard;57587;25-11-2020;08-12-2020;229;397,7;0;0;1;1,7
917;Heerlen;87086;25-11-2020;08-12-2020;353;405,3;4;4,6;3;3,4
1658;Heeze-Leende;16152;25-11-2020;08-12-2020;79;489,1;1;6,2;1;6,2
399;Heiloo;23968;25-11-2020;08-12-2020;75;312,9;1;4,2;0;0
163;Hellendoorn;35916;25-11-2020;08-12-2020;261;726,7;1;2,8;1;2,8
530;Hellevoetsluis;40142;25-11-2020;08-12-2020;126;313,9;3;7,5;0;0
794;Helmond;92423;25-11-2020;08-12-2020;372;402,5;4;4,3;0;0
531;Hendrik-Ido-Ambacht;31202;25-11-2020;08-12-2020;161;516;3;9,6;0;0
164;Hengelo (O.);81140;25-11-2020;08-12-2020;401;494,2;4;4,9;3;3,7
796;'s-Hertogenbosch;155111;25-11-2020;08-12-2020;776;500,3;9;5,8;7;4,5
1966;Het Hogeland;47801;25-11-2020;08-12-2020;202;422,6;2;4,2;1;2,1
252;Heumen;16454;25-11-2020;08-12-2020;43;261,3;1;6,1;0;0
797;Heusden;44692;25-11-2020;08-12-2020;230;514,6;4;9;3;6,7
534;Hillegom;22209;25-11-2020;08-12-2020;87;391,7;1;4,5;0;0
798;Hilvarenbeek;15518;25-11-2020;08-12-2020;55;354,4;0;0;0;0
402;Hilversum;90831;25-11-2020;08-12-2020;324;356,7;1;1,1;3;3,3
1963;Hoeksche Waard;87401;25-11-2020;08-12-2020;318;363,8;1;1,1;1;1,1
1735;Hof van Twente;35017;25-11-2020;08-12-2020;159;454,1;2;5,7;2;5,7
1911;Hollands Kroon;48432;25-11-2020;08-12-2020;155;320;2;4,1;2;4,1
118;Hoogeveen;55699;25-11-2020;08-12-2020;129;231,6;2;3,6;0;0
405;Hoorn;73261;25-11-2020;08-12-2020;325;443,6;2;2,7;0;0
1507;Horst aan de Maas;42429;25-11-2020;08-12-2020;297;700;2;4,7;5;11,8
321;Houten;50146;25-11-2020;08-12-2020;274;546,4;1;2;1;2
406;Huizen;41273;25-11-2020;08-12-2020;184;445,8;2;4,8;0;0
677;Hulst;27556;25-11-2020;08-12-2020;85;308,5;1;3,6;1;3,6
353;IJsselstein;34109;25-11-2020;08-12-2020;137;401,7;1;2,9;0;0
1884;Kaag en Braassem;27297;25-11-2020;08-12-2020;108;395,6;3;11;0;0
166;Kampen;54319;25-11-2020;08-12-2020;210;386,6;1;1,8;2;3,7
678;Kapelle;12695;25-11-2020;08-12-2020;23;181,2;0;0;0;0
537;Katwijk;65753;25-11-2020;08-12-2020;369;561,2;5;7,6;2;3
928;Kerkrade;45749;25-11-2020;08-12-2020;135;295,1;3;6,6;1;2,2
1598;Koggenland;22749;25-11-2020;08-12-2020;91;400;1;4,4;0;0
542;Krimpen aan den IJssel;29526;25-11-2020;08-12-2020;175;592,7;0;0;3;10,2
1931;Krimpenerwaard;56319;25-11-2020;08-12-2020;204;362,2;3;5,3;0;0
1659;Laarbeek;22523;25-11-2020;08-12-2020;144;639,3;1;4,4;1;4,4
1685;Landerd;15730;25-11-2020;08-12-2020;84;534;0;0;0;0
882;Landgraaf;37445;25-11-2020;08-12-2020;156;416,6;0;0;7;18,7
415;Landsmeer;11491;25-11-2020;08-12-2020;36;313,3;0;0;1;8,7
416;Langedijk;28163;25-11-2020;08-12-2020;98;348;0;0;0;0
1621;Lansingerland;62384;25-11-2020;08-12-2020;368;589,9;2;3,2;2;3,2
417;Laren;11280;25-11-2020;08-12-2020;43;381,2;1;8,9;0;0
80;Leeuwarden;124084;25-11-2020;08-12-2020;195;157,2;4;3,2;0;0
546;Leiden;125099;25-11-2020;08-12-2020;397;317,3;4;3,2;3;2,4
547;Leiderdorp;27056;25-11-2020;08-12-2020;127;469,4;1;3,7;1;3,7
1916;Leidschendam-Voorburg;76534;25-11-2020;08-12-2020;323;422;10;13,1;9;11,8
995;Lelystad;78598;25-11-2020;08-12-2020;344;437,7;3;3,8;2;2,5
1640;Leudal;35879;25-11-2020;08-12-2020;221;616;1;2,8;3;8,4
327;Leusden;30401;25-11-2020;08-12-2020;90;296;0;0;0;0
1705;Lingewaard;46601;25-11-2020;08-12-2020;211;452,8;2;4,3;2;4,3
553;Lisse;22955;25-11-2020;08-12-2020;128;557,6;3;13,1;0;0
262;Lochem;33729;25-11-2020;08-12-2020;149;441,8;0;0;2;5,9
809;Loon op Zand;23408;25-11-2020;08-12-2020;131;559,6;2;8,5;0;0
331;Lopik;14467;25-11-2020;08-12-2020;91;629;0;0;0;0
168;Losser;22683;25-11-2020;08-12-2020;180;793,5;3;13,2;2;8,8
263;Maasdriel;25030;25-11-2020;08-12-2020;105;419,5;0;0;2;8
1641;Maasgouw;23965;25-11-2020;08-12-2020;125;521,6;1;4,2;0;0
556;Maassluis;33213;25-11-2020;08-12-2020;160;481,7;1;3;3;9
935;Maastricht;121575;25-11-2020;08-12-2020;608;500,1;4;3,3;4;3,3
420;Medemblik;45101;25-11-2020;08-12-2020;255;565,4;1;2,2;2;4,4
938;Meerssen;18828;25-11-2020;08-12-2020;102;541,7;2;10,6;3;15,9
1948;Meierijstad;81194;25-11-2020;08-12-2020;373;459,4;1;1,2;2;2,5
119;Meppel;33920;25-11-2020;08-12-2020;87;256,5;0;0;0;0
687;Middelburg;48822;25-11-2020;08-12-2020;97;198,7;0;0;0;0
1842;Midden-Delfland;19341;25-11-2020;08-12-2020;109;563,6;1;5,2;2;10,3
1731;Midden-Drenthe;33185;25-11-2020;08-12-2020;57;171,8;2;6;1;3
1952;Midden-Groningen;60797;25-11-2020;08-12-2020;194;319,1;0;0;2;3,3
815;Mill en Sint Hubert;10939;25-11-2020;08-12-2020;44;402,2;0;0;0;0
1709;Moerdijk;37129;25-11-2020;08-12-2020;143;385,1;2;5,4;2;5,4
1978;Molenlanden;43909;25-11-2020;08-12-2020;220;501;2;4,6;2;4,6
1955;Montferland;36011;25-11-2020;08-12-2020;133;369,3;1;2,8;0;0
335;Montfoort;13917;25-11-2020;08-12-2020;77;553,3;0;0;0;0
944;Mook en Middelaar;7847;25-11-2020;08-12-2020;23;293,1;0;0;1;12,7
1740;Neder-Betuwe;24339;25-11-2020;08-12-2020;190;780,6;1;4,1;3;12,3
946;Nederweert;17019;25-11-2020;08-12-2020;164;963,6;0;0;0;0
356;Nieuwegein;63462;25-11-2020;08-12-2020;245;386,1;4;6,3;1;1,6
569;Nieuwkoop;28811;25-11-2020;08-12-2020;169;586,6;4;13,9;1;3,5
267;Nijkerk;43171;25-11-2020;08-12-2020;251;581,4;1;2,3;0;0
268;Nijmegen;177659;25-11-2020;08-12-2020;571;321,4;2;1,1;3;1,7
1930;Nissewaard;85219;25-11-2020;08-12-2020;370;434,2;5;5,9;8;9,4
1970;Noardeast-Fryslân;45228;25-11-2020;08-12-2020;180;398;4;8,8;0;0
1695;Noord-Beveland;7392;25-11-2020;08-12-2020;7;94,7;0;0;0;0
1699;Noordenveld;31253;25-11-2020;08-12-2020;47;150,4;2;6,4;0;0
171;Noordoostpolder;47291;25-11-2020;08-12-2020;371;784,5;1;2,1;4;8,5
575;Noordwijk;43508;25-11-2020;08-12-2020;184;422,9;2;4,6;1;2,3
820;Nuenen, Gerwen en Nederwetten;23383;25-11-2020;08-12-2020;83;355;0;0;0;0
302;Nunspeet;27851;25-11-2020;08-12-2020;107;384,2;0;0;1;3,6
579;Oegstgeest;24840;25-11-2020;08-12-2020;128;515,3;0;0;2;8,1
823;Oirschot;18714;25-11-2020;08-12-2020;98;523,7;1;5,3;1;5,3
824;Oisterwijk;32130;25-11-2020;08-12-2020;192;597,6;2;6,2;1;3,1
1895;Oldambt;38209;25-11-2020;08-12-2020;133;348,1;0;0;0;0
269;Oldebroek;23646;25-11-2020;08-12-2020;83;351;1;4,2;0;0
173;Oldenzaal;31836;25-11-2020;08-12-2020;195;612,5;3;9,4;4;12,6
1773;Olst-Wijhe;18252;25-11-2020;08-12-2020;50;273,9;0;0;0;0
175;Ommen;18009;25-11-2020;08-12-2020;36;199,9;0;0;1;5,6
1586;Oost Gelre;29627;25-11-2020;08-12-2020;98;330,8;0;0;0;0
826;Oosterhout;55982;25-11-2020;08-12-2020;276;493;3;5,4;6;10,7
85;Ooststellingwerf;25469;25-11-2020;08-12-2020;66;259,1;2;7,9;0;0
431;Oostzaan;9735;25-11-2020;08-12-2020;50;513,6;0;0;0;0
432;Opmeer;11836;25-11-2020;08-12-2020;49;414;0;0;0;0
86;Opsterland;29733;25-11-2020;08-12-2020;70;235,4;2;6,7;0;0
828;Oss;91915;25-11-2020;08-12-2020;356;387,3;3;3,3;0;0
1509;Oude IJsselstreek;39388;25-11-2020;08-12-2020;165;418,9;0;0;7;17,8
437;Ouder-Amstel;14026;25-11-2020;08-12-2020;81;577,5;0;0;0;0
589;Oudewater;10230;25-11-2020;08-12-2020;54;527,9;0;0;0;0
1734;Overbetuwe;47906;25-11-2020;08-12-2020;167;348,6;1;2,1;1;2,1
590;Papendrecht;32136;25-11-2020;08-12-2020;146;454,3;1;3,1;1;3,1
1894;Peel en Maas;43425;25-11-2020;08-12-2020;162;373,1;0;0;0;0
765;Pekela;12196;25-11-2020;08-12-2020;22;180,4;1;8,2;0;0
1926;Pijnacker-Nootdorp;55308;25-11-2020;08-12-2020;319;576,8;2;3,6;1;1,8
439;Purmerend;81249;25-11-2020;08-12-2020;279;343,4;7;8,6;1;1,2
273;Putten;24112;25-11-2020;08-12-2020;150;622,1;0;0;3;12,4
177;Raalte;37712;25-11-2020;08-12-2020;265;702,7;0;0;0;0
703;Reimerswaal;22730;25-11-2020;08-12-2020;114;501,5;1;4,4;0;0
274;Renkum;31419;25-11-2020;08-12-2020;137;436;0;0;1;3,2
339;Renswoude;5444;25-11-2020;08-12-2020;37;679,6;0;0;0;0
1667;Reusel-De Mierden;13112;25-11-2020;08-12-2020;60;457,6;0;0;2;15,3
275;Rheden;43761;25-11-2020;08-12-2020;231;527,9;3;6,9;1;2,3
340;Rhenen;20119;25-11-2020;08-12-2020;187;929,5;1;5;1;5
597;Ridderkerk;46189;25-11-2020;08-12-2020;238;515,3;4;8,7;11;23,8
1742;Rijssen-Holten;38177;25-11-2020;08-12-2020;307;804,1;2;5,2;0;0
603;Rijswijk;54450;25-11-2020;08-12-2020;199;365,5;2;3,7;0;0
1669;Roerdalen;20574;25-11-2020;08-12-2020;114;554,1;0;0;0;0
957;Roermond;58260;25-11-2020;08-12-2020;348;597,3;0;0;2;3,4
1674;Roosendaal;77251;25-11-2020;08-12-2020;387;501;3;3,9;5;6,5
599;Rotterdam;651157;25-11-2020;08-12-2020;3092;474,8;45;6,9;31;4,8
277;Rozendaal;1704;25-11-2020;08-12-2020;13;762,9;0;0;0;0
840;Rucphen;22878;25-11-2020;08-12-2020;101;441,5;4;17,5;1;4,4
441;Schagen;46483;25-11-2020;08-12-2020;221;475,4;1;2,2;1;2,2
279;Scherpenzeel;9880;25-11-2020;08-12-2020;120;1214,6;0;0;1;10,1
606;Schiedam;78730;25-11-2020;08-12-2020;507;644;17;21,6;7;8,9
88;Schiermonnikoog;947;25-11-2020;08-12-2020;1;105,6;0;0;0;0
1676;Schouwen-Duiveland;33839;25-11-2020;08-12-2020;66;195;1;3;0;0
965;Simpelveld;10555;25-11-2020;08-12-2020;64;606,3;2;18,9;0;0
1702;Sint Anthonis;11664;25-11-2020;08-12-2020;61;523;0;0;0;0
845;Sint-Michielsgestel;29208;25-11-2020;08-12-2020;154;527,3;0;0;0;0
1883;Sittard-Geleen;92429;25-11-2020;08-12-2020;500;541;5;5,4;4;4,3
610;Sliedrecht;25220;25-11-2020;08-12-2020;219;868,4;2;7,9;6;23,8
1714;Sluis;23210;25-11-2020;08-12-2020;121;521,3;3;12,9;1;4,3
90;Smallingerland;56150;25-11-2020;08-12-2020;113;201,2;1;1,8;3;5,3
342;Soest;46606;25-11-2020;08-12-2020;181;388,4;3;6,4;1;2,1
847;Someren;19368;25-11-2020;08-12-2020;86;444;0;0;0;0
848;Son en Breugel;17322;25-11-2020;08-12-2020;65;375,2;1;5,8;4;23,1
37;Stadskanaal;31686;25-11-2020;08-12-2020;171;539,7;2;6,3;1;3,2
180;Staphorst;17145;25-11-2020;08-12-2020;108;629,9;0;0;0;0
532;Stede Broec;21726;25-11-2020;08-12-2020;81;372,8;0;0;0;0
851;Steenbergen;24416;25-11-2020;08-12-2020;72;294,9;0;0;0;0
1708;Steenwijkerland;44126;25-11-2020;08-12-2020;155;351,3;1;2,3;0;0
971;Stein;25007;25-11-2020;08-12-2020;158;631,8;2;8;0;0
1904;Stichtse Vecht;64931;25-11-2020;08-12-2020;343;528,3;6;9,2;10;15,4
1900;Súdwest-Fryslân;89987;25-11-2020;08-12-2020;470;522,3;1;1,1;3;3,3
715;Terneuzen;54426;25-11-2020;08-12-2020;253;464,9;4;7,3;0;0
93;Terschelling;4888;25-11-2020;08-12-2020;4;81,8;0;0;0;0
