Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
518;'s-Gravenhage;545838;04-03-2020;17-03-2020;27;4,9;12;2,2;0;0
14;Groningen;232874;04-03-2020;17-03-2020;11;4,7;1;0,4;0;0
1729;Gulpen-Wittem;14171;04-03-2020;17-03-2020;2;14,1;1;7,1;0;0
158;Haaksbergen;24311;04-03-2020;17-03-2020;2;8,2;0;0;0;0
392;Haarlem;162902;04-03-2020;17-03-2020;9;5,5;4;2,5;0;0
394;Haarlemmermeer;156002;04-03-2020;17-03-2020;7;4,5;3;1,9;1;0,6
1655;Halderberge;30284;04-03-2020;17-03-2020;2;6,6;1;3,3;0;0
160;Hardenberg;60948;04-03-2020;17-03-2020;0;0;2;3,3;0;0
243;Harderwijk;48414;04-03-2020;17-03-2020;4;8,3;4;8,3;1;2,1
523;Hardinxveld-Giessendam;18295;04-03-2020;17-03-2020;2;10,9;0;0;0;0
72;Harlingen;15722;04-03-2020;17-03-2020;1;6,4;0;0;0;0
244;Hattem;12209;04-03-2020;17-03-2020;0;0;0;0;0;0
396;Heemskerk;39182;04-03-2020;17-03-2020;3;7,7;2;5,1;0;0
397;Heemstede;27234;04-03-2020;17-03-2020;6;22;0;0;0;0
246;Heerde;18589;04-03-2020;17-03-2020;4;21,5;7;37,7;0;0
74;Heerenveen;50493;04-03-2020;17-03-2020;0;0;0;0;0;0
398;Heerhugowaard;57587;04-03-2020;17-03-2020;2;3,5;1;1,7;0;0
917;Heerlen;87086;04-03-2020;17-03-2020;14;16,1;13;14,9;2;2,3
1658;Heeze-Leende;16152;04-03-2020;17-03-2020;4;24,8;2;12,4;0;0
399;Heiloo;23968;04-03-2020;17-03-2020;3;12,5;0;0;0;0
163;Hellendoorn;35916;04-03-2020;17-03-2020;2;5,6;0;0;0;0
530;Hellevoetsluis;40142;04-03-2020;17-03-2020;1;2,5;0;0;0;0
794;Helmond;92423;04-03-2020;17-03-2020;17;18,4;12;13;1;1,1
531;Hendrik-Ido-Ambacht;31202;04-03-2020;17-03-2020;0;0;1;3,2;0;0
164;Hengelo (O.);81140;04-03-2020;17-03-2020;4;4,9;1;1,2;0;0
796;'s-Hertogenbosch;155111;04-03-2020;17-03-2020;30;19,3;14;9;2;1,3
1966;Het Hogeland;47801;04-03-2020;17-03-2020;0;0;0;0;0;0
252;Heumen;16454;04-03-2020;17-03-2020;6;36,5;0;0;0;0
797;Heusden;44692;04-03-2020;17-03-2020;5;11,2;0;0;0;0
534;Hillegom;22209;04-03-2020;17-03-2020;1;4,5;1;4,5;0;0
798;Hilvarenbeek;15518;04-03-2020;17-03-2020;5;32,2;0;0;0;0
402;Hilversum;90831;04-03-2020;17-03-2020;3;3,3;2;2,2;0;0
1963;Hoeksche Waard;87401;04-03-2020;17-03-2020;9;10,3;7;8;1;1,1
