Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
518;'s-Gravenhage (gemeente);545838;14-10-2020;27-10-2020;5044;924,1;79;14,5;34;6,2
796;'s-Hertogenbosch;155111;14-10-2020;27-10-2020;1029;663,4;11;7,1;9;5,8
1680;Aa en Hunze;25445;14-10-2020;27-10-2020;66;259,4;0;0;0;0
358;Aalsmeer;31859;14-10-2020;27-10-2020;290;910,3;0;0;1;3,1
197;Aalten;27121;14-10-2020;27-10-2020;147;542;0;0;1;3,7
59;Achtkarspelen;27843;14-10-2020;27-10-2020;62;222,7;0;0;0;0
482;Alblasserdam;20165;14-10-2020;27-10-2020;260;1289,4;0;0;4;19,8
613;Albrandswaard;25590;14-10-2020;27-10-2020;379;1481;4;15,6;4;15,6
361;Alkmaar;109436;14-10-2020;27-10-2020;663;605,8;6;5,5;1;0,9
141;Almelo;73107;14-10-2020;27-10-2020;651;890,5;1;1,4;2;2,7
34;Almere;211893;14-10-2020;27-10-2020;1457;687,6;14;6,6;2;0,9
484;Alphen aan den Rijn;111897;14-10-2020;27-10-2020;1023;914,2;15;13,4;6;5,4
1723;Alphen-Chaam;10203;14-10-2020;27-10-2020;69;676,3;0;0;0;0
1959;Altena;55967;14-10-2020;27-10-2020;364;650,4;2;3,6;4;7,1
60;Ameland;3716;14-10-2020;27-10-2020;19;511,3;0;0;0;0
307;Amersfoort;157276;14-10-2020;27-10-2020;1243;790,3;13;8,3;3;1,9
362;Amstelveen;91675;14-10-2020;27-10-2020;726;791,9;6;6,5;7;7,6
363;Amsterdam;872757;14-10-2020;27-10-2020;9058;1037,9;136;15,6;30;3,4
200;Apeldoorn;163818;14-10-2020;27-10-2020;724;442;8;4,9;3;1,8
3;Appingedam;11642;14-10-2020;27-10-2020;18;154,6;3;25,8;0;0
202;Arnhem;161348;14-10-2020;27-10-2020;915;567,1;16;9,9;1;0,6
106;Assen;68599;14-10-2020;27-10-2020;314;457,7;2;2,9;0;0
743;Asten;16721;14-10-2020;27-10-2020;96;574,1;1;6;0;0
744;Baarle-Nassau;6859;14-10-2020;27-10-2020;51;743,5;0;0;0;0
