Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
518;'s-Gravenhage;545838;19-05-2021;01-06-2021;1416;259,4;27;4,9;1;0,2
14;Groningen;232874;19-05-2021;01-06-2021;369;158,5;1;0,4;0;0
1729;Gulpen-Wittem;14171;19-05-2021;01-06-2021;14;98,8;0;0;0;0
158;Haaksbergen;24311;19-05-2021;01-06-2021;66;271,5;0;0;0;0
392;Haarlem;162902;19-05-2021;01-06-2021;247;151,6;2;1,2;0;0
394;Haarlemmermeer;156002;19-05-2021;01-06-2021;438;280,8;2;1,3;1;0,6
1655;Halderberge;30284;19-05-2021;01-06-2021;74;244,4;0;0;0;0
160;Hardenberg;60948;19-05-2021;01-06-2021;169;277,3;0;0;0;0
243;Harderwijk;48414;19-05-2021;01-06-2021;81;167,3;1;2,1;0;0
523;Hardinxveld-Giessendam;18295;19-05-2021;01-06-2021;72;393,6;0;0;0;0
72;Harlingen;15722;19-05-2021;01-06-2021;19;120,8;0;0;0;0
244;Hattem;12209;19-05-2021;01-06-2021;18;147,4;0;0;0;0
396;Heemskerk;39182;19-05-2021;01-06-2021;55;140,4;1;2,6;0;0
397;Heemstede;27234;19-05-2021;01-06-2021;45;165,2;0;0;0;0
246;Heerde;18589;19-05-2021;01-06-2021;27;145,2;0;0;0;0
74;Heerenveen;50493;19-05-2021;01-06-2021;55;108,9;2;4;0;0
398;Heerhugowaard;57587;19-05-2021;01-06-2021;117;203,2;0;0;0;0
917;Heerlen;87086;19-05-2021;01-06-2021;193;221,6;1;1,1;1;1,1
1658;Heeze-Leende;16152;19-05-2021;01-06-2021;17;105,3;0;0;0;0
399;Heiloo;23968;19-05-2021;01-06-2021;14;58,4;0;0;0;0
163;Hellendoorn;35916;19-05-2021;01-06-2021;101;281,2;1;2,8;0;0
530;Hellevoetsluis;40142;19-05-2021;01-06-2021;78;194,3;1;2,5;0;0
