Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
518;'s-Gravenhage;545838;02-12-2020;15-12-2020;2271;416,1;19;3,5;6;1,1
14;Groningen;232874;02-12-2020;15-12-2020;565;242,6;3;1,3;2;0,9
1729;Gulpen-Wittem;14171;02-12-2020;15-12-2020;68;479,9;0;0;0;0
158;Haaksbergen;24311;02-12-2020;15-12-2020;180;740,4;0;0;0;0
788;Haaren;14370;02-12-2020;15-12-2020;95;661,1;1;7;0;0
392;Haarlem;162902;02-12-2020;15-12-2020;701;430,3;6;3,7;7;4,3
394;Haarlemmermeer;156002;02-12-2020;15-12-2020;757;485,3;3;1,9;10;6,4
1655;Halderberge;30284;02-12-2020;15-12-2020;109;359,9;3;9,9;1;3,3
160;Hardenberg;60948;02-12-2020;15-12-2020;229;375,7;1;1,6;1;1,6
243;Harderwijk;48414;02-12-2020;15-12-2020;252;520,5;2;4,1;0;0
523;Hardinxveld-Giessendam;18295;02-12-2020;15-12-2020;153;836,3;0;0;0;0
72;Harlingen;15722;02-12-2020;15-12-2020;19;120,8;0;0;0;0
244;Hattem;12209;02-12-2020;15-12-2020;36;294,9;1;8,2;0;0
396;Heemskerk;39182;02-12-2020;15-12-2020;208;530,9;2;5,1;1;2,6
397;Heemstede;27234;02-12-2020;15-12-2020;140;514,1;2;7,3;9;33
246;Heerde;18589;02-12-2020;15-12-2020;54;290,5;0;0;0;0
74;Heerenveen;50493;02-12-2020;15-12-2020;89;176,3;0;0;1;2
398;Heerhugowaard;57587;02-12-2020;15-12-2020;356;618,2;0;0;0;0
917;Heerlen;87086;02-12-2020;15-12-2020;437;501,8;6;6,9;2;2,3
1658;Heeze-Leende;16152;02-12-2020;15-12-2020;124;767,7;1;6,2;2;12,4
399;Heiloo;23968;02-12-2020;15-12-2020;83;346,3;0;0;0;0
163;Hellendoorn;35916;02-12-2020;15-12-2020;256;712,8;1;2,8;1;2,8
530;Hellevoetsluis;40142;02-12-2020;15-12-2020;144;358,7;3;7,5;0;0
794;Helmond;92423;02-12-2020;15-12-2020;356;385,2;4;4,3;0;0
531;Hendrik-Ido-Ambacht;31202;02-12-2020;15-12-2020;202;647,4;0;0;2;6,4
164;Hengelo;81140;02-12-2020;15-12-2020;356;438,7;3;3,7;2;2,5
796;'s-Hertogenbosch;155111;02-12-2020;15-12-2020;928;598,3;3;1,9;4;2,6
1966;Het Hogeland;47801;02-12-2020;15-12-2020;158;330,5;2;4,2;1;2,1
252;Heumen;16454;02-12-2020;15-12-2020;75;455,8;1;6,1;0;0
797;Heusden;44692;02-12-2020;15-12-2020;221;494,5;2;4,5;1;2,2
534;Hillegom;22209;02-12-2020;15-12-2020;93;418,7;1;4,5;0;0
798;Hilvarenbeek;15518;02-12-2020;15-12-2020;100;644,4;0;0;1;6,4
402;Hilversum;90831;02-12-2020;15-12-2020;353;388,6;0;0;2;2,2
1963;Hoeksche Waard;87401;02-12-2020;15-12-2020;335;383,3;0;0;0;0
1735;Hof van Twente;35017;02-12-2020;15-12-2020;140;399,8;1;2,9;1;2,9
1911;Hollands Kroon;48432;02-12-2020;15-12-2020;189;390,2;2;4,1;1;2,1
118;Hoogeveen;55699;02-12-2020;15-12-2020;272;488,3;2;3,6;0;0
405;Hoorn;73261;02-12-2020;15-12-2020;388;529,6;1;1,4;0;0
1507;Horst aan de Maas;42429;02-12-2020;15-12-2020;351;827,3;1;2,4;0;0
321;Houten;50146;02-12-2020;15-12-2020;356;709,9;0;0;2;4
406;Huizen;41273;02-12-2020;15-12-2020;247;598,5;1;2,4;1;2,4
677;Hulst;27556;02-12-2020;15-12-2020;88;319,3;0;0;2;7,3
353;IJsselstein;34109;02-12-2020;15-12-2020;183;536,5;0;0;0;0
1884;Kaag en Braassem;27297;02-12-2020;15-12-2020;169;619,1;2;7,3;0;0
166;Kampen;54319;02-12-2020;15-12-2020;248;456,6;0;0;1;1,8
678;Kapelle;12695;02-12-2020;15-12-2020;31;244,2;1;7,9;0;0
537;Katwijk;65753;02-12-2020;15-12-2020;468;711,8;6;9,1;1;1,5
928;Kerkrade;45749;02-12-2020;15-12-2020;148;323,5;4;8,7;2;4,4
1598;Koggenland;22749;02-12-2020;15-12-2020;89;391,2;1;4,4;0;0
542;Krimpen aan den IJssel;29526;02-12-2020;15-12-2020;200;677,4;0;0;4;13,5
1931;Krimpenerwaard;56319;02-12-2020;15-12-2020;322;571,7;3;5,3;1;1,8
1659;Laarbeek;22523;02-12-2020;15-12-2020;182;808,1;0;0;1;4,4
1685;Landerd;15730;02-12-2020;15-12-2020;95;603,9;0;0;0;0
882;Landgraaf;37445;02-12-2020;15-12-2020;223;595,5;1;2,7;4;10,7
415;Landsmeer;11491;02-12-2020;15-12-2020;61;530,9;1;8,7;1;8,7
416;Langedijk;28163;02-12-2020;15-12-2020;148;525,5;1;3,6;0;0
1621;Lansingerland;62384;02-12-2020;15-12-2020;389;623,6;2;3,2;1;1,6
417;Laren;11280;02-12-2020;15-12-2020;38;336,9;1;8,9;0;0
80;Leeuwarden;124084;02-12-2020;15-12-2020;264;212,8;1;0,8;0;0
546;Leiden;125099;02-12-2020;15-12-2020;469;374,9;4;3,2;2;1,6
