Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
518;'s-Gravenhage;545838;23-12-2020;05-01-2021;2355;431,4;40;7,3;20;3,7
14;Groningen;232874;23-12-2020;05-01-2021;760;326,4;2;0,9;6;2,6
1729;Gulpen-Wittem;14171;23-12-2020;05-01-2021;89;628;1;7,1;1;7,1
158;Haaksbergen;24311;23-12-2020;05-01-2021;303;1246,3;2;8,2;4;16,5
788;Haaren;14370;23-12-2020;05-01-2021;90;626,3;0;0;0;0
392;Haarlem;162902;23-12-2020;05-01-2021;842;516,9;6;3,7;6;3,7
394;Haarlemmermeer;156002;23-12-2020;05-01-2021;848;543,6;7;4,5;7;4,5
1655;Halderberge;30284;23-12-2020;05-01-2021;165;544,8;1;3,3;0;0
160;Hardenberg;60948;23-12-2020;05-01-2021;804;1319,2;4;6,6;3;4,9
243;Harderwijk;48414;23-12-2020;05-01-2021;503;1039;2;4,1;2;4,1
523;Hardinxveld-Giessendam;18295;23-12-2020;05-01-2021;227;1240,8;0;0;2;10,9
72;Harlingen;15722;23-12-2020;05-01-2021;46;292,6;0;0;0;0
244;Hattem;12209;23-12-2020;05-01-2021;92;753,5;0;0;0;0
396;Heemskerk;39182;23-12-2020;05-01-2021;234;597,2;3;7,7;0;0
397;Heemstede;27234;23-12-2020;05-01-2021;125;459;0;0;1;3,7
246;Heerde;18589;23-12-2020;05-01-2021;92;494,9;0;0;0;0
74;Heerenveen;50493;23-12-2020;05-01-2021;208;411,9;2;4;0;0
398;Heerhugowaard;57587;23-12-2020;05-01-2021;350;607,8;3;5,2;3;5,2
917;Heerlen;87086;23-12-2020;05-01-2021;565;648,8;8;9,2;1;1,1
1658;Heeze-Leende;16152;23-12-2020;05-01-2021;98;606,7;0;0;0;0
399;Heiloo;23968;23-12-2020;05-01-2021;153;638,4;0;0;0;0
163;Hellendoorn;35916;23-12-2020;05-01-2021;416;1158,3;1;2,8;0;0
530;Hellevoetsluis;40142;23-12-2020;05-01-2021;240;597,9;1;2,5;2;5
794;Helmond;92423;23-12-2020;05-01-2021;498;538,8;1;1,1;1;1,1
531;Hendrik-Ido-Ambacht;31202;23-12-2020;05-01-2021;227;727,5;0;0;2;6,4
164;Hengelo;81140;23-12-2020;05-01-2021;731;900,9;2;2,5;10;12,3
796;'s-Hertogenbosch;155111;23-12-2020;05-01-2021;964;621,5;0;0;7;4,5
1966;Het Hogeland;47801;23-12-2020;05-01-2021;278;581,6;2;4,2;10;20,9
252;Heumen;16454;23-12-2020;05-01-2021;112;680,7;1;6,1;0;0
797;Heusden;44692;23-12-2020;05-01-2021;324;725;0;0;1;2,2
534;Hillegom;22209;23-12-2020;05-01-2021;127;571,8;0;0;0;0
798;Hilvarenbeek;15518;23-12-2020;05-01-2021;142;915,1;0;0;4;25,8
402;Hilversum;90831;23-12-2020;05-01-2021;451;496,5;1;1,1;8;8,8
1963;Hoeksche Waard;87401;23-12-2020;05-01-2021;489;559,5;1;1,1;2;2,3
1735;Hof van Twente;35017;23-12-2020;05-01-2021;354;1010,9;1;2,9;2;5,7
1911;Hollands Kroon;48432;23-12-2020;05-01-2021;443;914,7;2;4,1;0;0
118;Hoogeveen;55699;23-12-2020;05-01-2021;522;937,2;4;7,2;3;5,4
405;Hoorn;73261;23-12-2020;05-01-2021;678;925,5;0;0;5;6,8
1507;Horst aan de Maas;42429;23-12-2020;05-01-2021;354;834,3;0;0;9;21,2
321;Houten;50146;23-12-2020;05-01-2021;234;466,6;3;6;0;0
406;Huizen;41273;23-12-2020;05-01-2021;324;785;2;4,8;10;24,2
677;Hulst;27556;23-12-2020;05-01-2021;84;304,8;0;0;0;0
353;IJsselstein;34109;23-12-2020;05-01-2021;136;398,7;3;8,8;0;0
1884;Kaag en Braassem;27297;23-12-2020;05-01-2021;182;666,7;0;0;0;0
166;Kampen;54319;23-12-2020;05-01-2021;251;462,1;0;0;0;0
678;Kapelle;12695;23-12-2020;05-01-2021;76;598,7;0;0;1;7,9
537;Katwijk;65753;23-12-2020;05-01-2021;771;1172,6;8;12,2;3;4,6
928;Kerkrade;45749;23-12-2020;05-01-2021;331;723,5;3;6,6;2;4,4
1598;Koggenland;22749;23-12-2020;05-01-2021;191;839,6;2;8,8;1;4,4
542;Krimpen aan den IJssel;29526;23-12-2020;05-01-2021;234;792,5;5;16,9;6;20,3
1931;Krimpenerwaard;56319;23-12-2020;05-01-2021;441;783;7;12,4;1;1,8
1659;Laarbeek;22523;23-12-2020;05-01-2021;136;603,8;1;4,4;1;4,4
1685;Landerd;15730;23-12-2020;05-01-2021;132;839,2;1;6,4;0;0
882;Landgraaf;37445;23-12-2020;05-01-2021;371;990,8;6;16;5;13,4
415;Landsmeer;11491;23-12-2020;05-01-2021;80;696,2;2;17,4;1;8,7
416;Langedijk;28163;23-12-2020;05-01-2021;214;759,9;0;0;0;0
1621;Lansingerland;62384;23-12-2020;05-01-2021;428;686,1;3;4,8;0;0
417;Laren;11280;23-12-2020;05-01-2021;97;859,9;1;8,9;12;106,4
80;Leeuwarden;124084;23-12-2020;05-01-2021;515;415;4;3,2;6;4,8
546;Leiden;125099;23-12-2020;05-01-2021;576;460,4;1;0,8;2;1,6
547;Leiderdorp;27056;23-12-2020;05-01-2021;124;458,3;1;3,7;4;14,8
1916;Leidschendam-Voorburg;76534;23-12-2020;05-01-2021;410;535,7;9;11,8;1;1,3
995;Lelystad;78598;23-12-2020;05-01-2021;391;497,5;6;7,6;2;2,5
1640;Leudal;35879;23-12-2020;05-01-2021;238;663,3;3;8,4;0;0
327;Leusden;30401;23-12-2020;05-01-2021;195;641,4;2;6,6;3;9,9
1705;Lingewaard;46601;23-12-2020;05-01-2021;329;706;4;8,6;1;2,1
