Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
518;'s-Gravenhage;545838;27-05-2020;09-06-2020;178;32,6;14;2,6;14;2,6
14;Groningen;232874;27-05-2020;09-06-2020;5;2,1;0;0;0;0
1729;Gulpen-Wittem;14171;27-05-2020;09-06-2020;2;14,1;0;0;0;0
158;Haaksbergen;24311;27-05-2020;09-06-2020;0;0;0;0;0;0
788;Haaren;14370;27-05-2020;09-06-2020;3;20,9;0;0;1;7
392;Haarlem;162902;27-05-2020;09-06-2020;4;2,5;0;0;2;1,2
394;Haarlemmermeer;156002;27-05-2020;09-06-2020;5;3,2;0;0;0;0
1655;Halderberge;30284;27-05-2020;09-06-2020;2;6,6;1;3,3;1;3,3
160;Hardenberg;60948;27-05-2020;09-06-2020;0;0;0;0;0;0
243;Harderwijk;48414;27-05-2020;09-06-2020;12;24,8;2;4,1;1;2,1
523;Hardinxveld-Giessendam;18295;27-05-2020;09-06-2020;0;0;0;0;0;0
72;Harlingen;15722;27-05-2020;09-06-2020;0;0;0;0;0;0
244;Hattem;12209;27-05-2020;09-06-2020;0;0;0;0;0;0
396;Heemskerk;39182;27-05-2020;09-06-2020;2;5,1;0;0;0;0
397;Heemstede;27234;27-05-2020;09-06-2020;0;0;0;0;0;0
246;Heerde;18589;27-05-2020;09-06-2020;1;5,4;0;0;0;0
74;Heerenveen;50493;27-05-2020;09-06-2020;2;4;0;0;0;0
398;Heerhugowaard;57587;27-05-2020;09-06-2020;4;6,9;0;0;0;0
917;Heerlen;87086;27-05-2020;09-06-2020;10;11,5;0;0;1;1,1
1658;Heeze-Leende;16152;27-05-2020;09-06-2020;1;6,2;1;6,2;0;0
399;Heiloo;23968;27-05-2020;09-06-2020;0;0;0;0;0;0
163;Hellendoorn;35916;27-05-2020;09-06-2020;0;0;0;0;0;0
530;Hellevoetsluis;40142;27-05-2020;09-06-2020;3;7,5;0;0;0;0
794;Helmond;92423;27-05-2020;09-06-2020;34;36,8;1;1,1;1;1,1
531;Hendrik-Ido-Ambacht;31202;27-05-2020;09-06-2020;11;35,3;1;3,2;0;0
164;Hengelo;81140;27-05-2020;09-06-2020;2;2,5;0;0;0;0
796;'s-Hertogenbosch;155111;27-05-2020;09-06-2020;22;14,2;0;0;0;0
1966;Het Hogeland;47801;27-05-2020;09-06-2020;0;0;0;0;0;0
252;Heumen;16454;27-05-2020;09-06-2020;2;12,2;0;0;0;0
797;Heusden;44692;27-05-2020;09-06-2020;4;9;0;0;0;0
534;Hillegom;22209;27-05-2020;09-06-2020;0;0;0;0;0;0
798;Hilvarenbeek;15518;27-05-2020;09-06-2020;4;25,8;0;0;0;0
402;Hilversum;90831;27-05-2020;09-06-2020;2;2,2;0;0;0;0
1963;Hoeksche Waard;87401;27-05-2020;09-06-2020;9;10,3;0;0;0;0
1735;Hof van Twente;35017;27-05-2020;09-06-2020;0;0;0;0;0;0
1911;Hollands Kroon;48432;27-05-2020;09-06-2020;0;0;0;0;0;0
118;Hoogeveen;55699;27-05-2020;09-06-2020;0;0;0;0;0;0
405;Hoorn;73261;27-05-2020;09-06-2020;4;5,5;1;1,4;0;0
1507;Horst aan de Maas;42429;27-05-2020;09-06-2020;3;7,1;0;0;0;0
321;Houten;50146;27-05-2020;09-06-2020;8;16;0;0;1;2
406;Huizen;41273;27-05-2020;09-06-2020;3;7,3;0;0;0;0
677;Hulst;27556;27-05-2020;09-06-2020;1;3,6;0;0;0;0
353;IJsselstein;34109;27-05-2020;09-06-2020;11;32,2;1;2,9;0;0
1884;Kaag en Braassem;27297;27-05-2020;09-06-2020;0;0;0;0;0;0
166;Kampen;54319;27-05-2020;09-06-2020;8;14,7;0;0;0;0
678;Kapelle;12695;27-05-2020;09-06-2020;1;7,9;0;0;0;0
537;Katwijk;65753;27-05-2020;09-06-2020;44;66,9;1;1,5;1;1,5
928;Kerkrade;45749;27-05-2020;09-06-2020;3;6,6;1;2,2;2;4,4
1598;Koggenland;22749;27-05-2020;09-06-2020;2;8,8;0;0;0;0
542;Krimpen aan den IJssel;29526;27-05-2020;09-06-2020;4;13,5;0;0;1;3,4
1931;Krimpenerwaard;56319;27-05-2020;09-06-2020;9;16;0;0;3;5,3
1659;Laarbeek;22523;27-05-2020;09-06-2020;4;17,8;0;0;0;0
1685;Landerd;15730;27-05-2020;09-06-2020;5;31,8;0;0;0;0
882;Landgraaf;37445;27-05-2020;09-06-2020;3;8;0;0;0;0
415;Landsmeer;11491;27-05-2020;09-06-2020;0;0;0;0;0;0
416;Langedijk;28163;27-05-2020;09-06-2020;0;0;0;0;0;0
1621;Lansingerland;62384;27-05-2020;09-06-2020;7;11,2;0;0;0;0
417;Laren;11280;27-05-2020;09-06-2020;0;0;0;0;0;0
80;Leeuwarden;124084;27-05-2020;09-06-2020;1;0,8;0;0;0;0
546;Leiden;125099;27-05-2020;09-06-2020;10;8;0;0;0;0
547;Leiderdorp;27056;27-05-2020;09-06-2020;4;14,8;1;3,7;0;0
1916;Leidschendam-Voorburg;76534;27-05-2020;09-06-2020;6;7,8;0;0;0;0
995;Lelystad;78598;27-05-2020;09-06-2020;13;16,5;0;0;2;2,5
1640;Leudal;35879;27-05-2020;09-06-2020;7;19,5;0;0;0;0
327;Leusden;30401;27-05-2020;09-06-2020;3;9,9;0;0;0;0
1705;Lingewaard;46601;27-05-2020;09-06-2020;4;8,6;0;0;0;0
553;Lisse;22955;27-05-2020;09-06-2020;0;0;0;0;0;0
262;Lochem;33729;27-05-2020;09-06-2020;2;5,9;0;0;0;0
809;Loon op Zand;23408;27-05-2020;09-06-2020;3;12,8;0;0;1;4,3
331;Lopik;14467;27-05-2020;09-06-2020;1;6,9;0;0;0;0
24;Loppersum;9537;27-05-2020;09-06-2020;0;0;0;0;0;0
168;Losser;22683;27-05-2020;09-06-2020;2;8,8;0;0;0;0
263;Maasdriel;25030;27-05-2020;09-06-2020;3;12;0;0;0;0
1641;Maasgouw;23965;27-05-2020;09-06-2020;1;4,2;0;0;0;0
556;Maassluis;33213;27-05-2020;09-06-2020;1;3;0;0;0;0
935;Maastricht;121575;27-05-2020;09-06-2020;33;27,1;1;0,8;8;6,6
420;Medemblik;45101;27-05-2020;09-06-2020;2;4,4;0;0;0;0
938;Meerssen;18828;27-05-2020;09-06-2020;4;21,2;0;0;1;5,3
1948;Meierijstad;81194;27-05-2020;09-06-2020;6;7,4;0;0;0;0
119;Meppel;33920;27-05-2020;09-06-2020;8;23,6;0;0;0;0
687;Middelburg;48822;27-05-2020;09-06-2020;0;0;0;0;0;0
1842;Midden-Delfland;19341;27-05-2020;09-06-2020;1;5,2;0;0;0;0
1731;Midden-Drenthe;33185;27-05-2020;09-06-2020;0;0;0;0;0;0
1952;Midden-Groningen;60797;27-05-2020;09-06-2020;0;0;0;0;0;0
