Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
518;'s-Gravenhage;545838;25-03-2020;07-04-2020;356;65,2;145;26,6;43;7,9
14;Groningen;232874;25-03-2020;07-04-2020;47;20,2;8;3,4;2;0,9
1729;Gulpen-Wittem;14171;25-03-2020;07-04-2020;30;211,7;8;56,5;2;14,1
158;Haaksbergen;24311;25-03-2020;07-04-2020;21;86,4;11;45,2;1;4,1
392;Haarlem;162902;25-03-2020;07-04-2020;131;80,4;31;19;23;14,1
394;Haarlemmermeer;156002;25-03-2020;07-04-2020;105;67,3;31;19,9;10;6,4
1655;Halderberge;30284;25-03-2020;07-04-2020;25;82,6;2;6,6;3;9,9
160;Hardenberg;60948;25-03-2020;07-04-2020;67;109,9;13;21,3;6;9,8
243;Harderwijk;48414;25-03-2020;07-04-2020;37;76,4;14;28,9;5;10,3
523;Hardinxveld-Giessendam;18295;25-03-2020;07-04-2020;9;49,2;1;5,5;2;10,9
72;Harlingen;15722;25-03-2020;07-04-2020;3;19,1;1;6,4;0;0
244;Hattem;12209;25-03-2020;07-04-2020;21;172;9;73,7;3;24,6
396;Heemskerk;39182;25-03-2020;07-04-2020;51;130,2;16;40,8;7;17,9
397;Heemstede;27234;25-03-2020;07-04-2020;62;227,7;5;18,4;23;84,5
246;Heerde;18589;25-03-2020;07-04-2020;46;247,5;18;96,8;12;64,6
74;Heerenveen;50493;25-03-2020;07-04-2020;31;61,4;7;13,9;7;13,9
398;Heerhugowaard;57587;25-03-2020;07-04-2020;39;67,7;11;19,1;2;3,5
917;Heerlen;87086;25-03-2020;07-04-2020;122;140,1;49;56,3;19;21,8
1658;Heeze-Leende;16152;25-03-2020;07-04-2020;24;148,6;7;43,3;2;12,4
399;Heiloo;23968;25-03-2020;07-04-2020;15;62,6;7;29,2;2;8,3
