Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
518;'s-Gravenhage;545838;07-10-2020;20-10-2020;4480;820,8;71;13;30;5,5
14;Groningen;232874;07-10-2020;20-10-2020;1205;517,4;6;2,6;0;0
1729;Gulpen-Wittem;14171;07-10-2020;20-10-2020;71;501;2;14,1;0;0
158;Haaksbergen;24311;07-10-2020;20-10-2020;150;617;1;4,1;3;12,3
392;Haarlem;162902;07-10-2020;20-10-2020;948;581,9;17;10,4;4;2,5
394;Haarlemmermeer;156002;07-10-2020;20-10-2020;1115;714,7;9;5,8;5;3,2
1655;Halderberge;30284;07-10-2020;20-10-2020;225;743;8;26,4;4;13,2
160;Hardenberg;60948;07-10-2020;20-10-2020;254;416,7;2;3,3;0;0
243;Harderwijk;48414;07-10-2020;20-10-2020;217;448,2;3;6,2;1;2,1
523;Hardinxveld-Giessendam;18295;07-10-2020;20-10-2020;132;721,5;1;5,5;0;0
72;Harlingen;15722;07-10-2020;20-10-2020;42;267,1;0;0;0;0
244;Hattem;12209;07-10-2020;20-10-2020;44;360,4;0;0;0;0
396;Heemskerk;39182;07-10-2020;20-10-2020;238;607,4;3;7,7;2;5,1
397;Heemstede;27234;07-10-2020;20-10-2020;106;389,2;2;7,3;2;7,3
246;Heerde;18589;07-10-2020;20-10-2020;39;209,8;0;0;0;0
74;Heerenveen;50493;07-10-2020;20-10-2020;138;273,3;2;4;1;2
398;Heerhugowaard;57587;07-10-2020;20-10-2020;210;364,7;2;3,5;0;0
917;Heerlen;87086;07-10-2020;20-10-2020;196;225,1;4;4,6;1;1,1
1658;Heeze-Leende;16152;07-10-2020;20-10-2020;111;687,2;1;6,2;0;0
399;Heiloo;23968;07-10-2020;20-10-2020;99;413,1;1;4,2;1;4,2
163;Hellendoorn;35916;07-10-2020;20-10-2020;223;620,9;6;16,7;1;2,8
530;Hellevoetsluis;40142;07-10-2020;20-10-2020;226;563;2;5;1;2,5
794;Helmond;92423;07-10-2020;20-10-2020;729;788,8;7;7,6;2;2,2
531;Hendrik-Ido-Ambacht;31202;07-10-2020;20-10-2020;254;814,1;2;6,4;0;0
164;Hengelo (O.);81140;07-10-2020;20-10-2020;619;762,9;5;6,2;3;3,7
796;'s-Hertogenbosch;155111;07-10-2020;20-10-2020;903;582,2;9;5,8;7;4,5
1966;Het Hogeland;47801;07-10-2020;20-10-2020;199;416,3;2;4,2;2;4,2
252;Heumen;16454;07-10-2020;20-10-2020;113;686,8;0;0;2;12,2
797;Heusden;44692;07-10-2020;20-10-2020;253;566,1;3;6,7;1;2,2
534;Hillegom;22209;07-10-2020;20-10-2020;119;535,8;0;0;0;0
798;Hilvarenbeek;15518;07-10-2020;20-10-2020;77;496,2;2;12,9;1;6,4
402;Hilversum;90831;07-10-2020;20-10-2020;487;536,2;2;2,2;3;3,3
1963;Hoeksche Waard;87401;07-10-2020;20-10-2020;617;705,9;5;5,7;9;10,3
1735;Hof van Twente;35017;07-10-2020;20-10-2020;232;662,5;0;0;0;0
1911;Hollands Kroon;48432;07-10-2020;20-10-2020;158;326,2;0;0;0;0
118;Hoogeveen;55699;07-10-2020;20-10-2020;266;477,6;3;5,4;4;7,2
405;Hoorn;73261;07-10-2020;20-10-2020;335;457,3;3;4,1;1;1,4
1507;Horst aan de Maas;42429;07-10-2020;20-10-2020;269;634;0;0;1;2,4
321;Houten;50146;07-10-2020;20-10-2020;270;538,4;5;10;2;4
406;Huizen;41273;07-10-2020;20-10-2020;297;719,6;1;2,4;1;2,4
677;Hulst;27556;07-10-2020;20-10-2020;88;319,3;1;3,6;0;0
353;IJsselstein;34109;07-10-2020;20-10-2020;246;721,2;4;11,7;0;0
1884;Kaag en Braassem;27297;07-10-2020;20-10-2020;192;703,4;0;0;0;0
166;Kampen;54319;07-10-2020;20-10-2020;125;230,1;1;1,8;0;0
678;Kapelle;12695;07-10-2020;20-10-2020;30;236,3;1;7,9;0;0
537;Katwijk;65753;07-10-2020;20-10-2020;606;921,6;4;6,1;2;3
928;Kerkrade;45749;07-10-2020;20-10-2020;134;292,9;4;8,7;2;4,4
1598;Koggenland;22749;07-10-2020;20-10-2020;74;325,3;0;0;0;0
542;Krimpen aan den IJssel;29526;07-10-2020;20-10-2020;293;992,3;0;0;3;10,2
1931;Krimpenerwaard;56319;07-10-2020;20-10-2020;400;710,2;5;8,9;1;1,8
1659;Laarbeek;22523;07-10-2020;20-10-2020;114;506,1;0;0;0;0
1685;Landerd;15730;07-10-2020;20-10-2020;123;781,9;0;0;0;0
882;Landgraaf;37445;07-10-2020;20-10-2020;69;184,3;0;0;1;2,7
415;Landsmeer;11491;07-10-2020;20-10-2020;60;522,1;2;17,4;0;0
416;Langedijk;28163;07-10-2020;20-10-2020;115;408,3;2;7,1;3;10,7
1621;Lansingerland;62384;07-10-2020;20-10-2020;511;819,1;0;0;0;0
417;Laren;11280;07-10-2020;20-10-2020;54;478,7;1;8,9;1;8,9
80;Leeuwarden;124084;07-10-2020;20-10-2020;450;362,7;4;3,2;2;1,6
546;Leiden;125099;07-10-2020;20-10-2020;927;741;12;9,6;6;4,8
547;Leiderdorp;27056;07-10-2020;20-10-2020;240;887;5;18,5;0;0
1916;Leidschendam-Voorburg;76534;07-10-2020;20-10-2020;471;615,4;2;2,6;4;5,2
995;Lelystad;78598;07-10-2020;20-10-2020;320;407,1;5;6,4;1;1,3
1640;Leudal;35879;07-10-2020;20-10-2020;128;356,8;0;0;0;0
327;Leusden;30401;07-10-2020;20-10-2020;154;506,6;2;6,6;1;3,3
1705;Lingewaard;46601;07-10-2020;20-10-2020;237;508,6;3;6,4;0;0
553;Lisse;22955;07-10-2020;20-10-2020;158;688,3;3;13,1;1;4,4
262;Lochem;33729;07-10-2020;20-10-2020;148;438,8;1;3;0;0
809;Loon op Zand;23408;07-10-2020;20-10-2020;139;593,8;0;0;8;34,2
331;Lopik;14467;07-10-2020;20-10-2020;89;615,2;2;13,8;0;0
168;Losser;22683;07-10-2020;20-10-2020;152;670,1;0;0;2;8,8
263;Maasdriel;25030;07-10-2020;20-10-2020;145;579,3;1;4;1;4
1641;Maasgouw;23965;07-10-2020;20-10-2020;65;271,2;0;0;0;0
556;Maassluis;33213;07-10-2020;20-10-2020;356;1071,9;8;24,1;5;15,1
935;Maastricht;121575;07-10-2020;20-10-2020;378;310,9;5;4,1;0;0
420;Medemblik;45101;07-10-2020;20-10-2020;171;379,1;0;0;0;0
938;Meerssen;18828;07-10-2020;20-10-2020;42;223,1;0;0;0;0
1948;Meierijstad;81194;07-10-2020;20-10-2020;391;481,6;1;1,2;5;6,2
119;Meppel;33920;07-10-2020;20-10-2020;82;241,7;0;0;0;0
687;Middelburg;48822;07-10-2020;20-10-2020;69;141,3;0;0;0;0
1842;Midden-Delfland;19341;07-10-2020;20-10-2020;154;796,2;1;5,2;1;5,2
1731;Midden-Drenthe;33185;07-10-2020;20-10-2020;143;430,9;0;0;0;0
1952;Midden-Groningen;60797;07-10-2020;20-10-2020;168;276,3;2;3,3;1;1,6
815;Mill en Sint Hubert;10939;07-10-2020;20-10-2020;91;831,9;0;0;0;0
1709;Moerdijk;37129;07-10-2020;20-10-2020;261;703;1;2,7;1;2,7
1978;Molenlanden;43909;07-10-2020;20-10-2020;263;599;2;4,6;0;0
1955;Montferland;36011;07-10-2020;20-10-2020;163;452,6;2;5,6;0;0
335;Montfoort;13917;07-10-2020;20-10-2020;63;452,7;0;0;1;7,2
944;Mook en Middelaar;7847;07-10-2020;20-10-2020;52;662,7;0;0;0;0
1740;Neder-Betuwe;24339;07-10-2020;20-10-2020;169;694,4;2;8,2;1;4,1
946;Nederweert;17019;07-10-2020;20-10-2020;86;505,3;2;11,8;0;0
356;Nieuwegein;63462;07-10-2020;20-10-2020;384;605,1;6;9,5;0;0
569;Nieuwkoop;28811;07-10-2020;20-10-2020;160;555,3;2;6,9;0;0
267;Nijkerk;43171;07-10-2020;20-10-2020;273;632,4;3;6,9;1;2,3
268;Nijmegen;177659;07-10-2020;20-10-2020;890;501;18;10,1;2;1,1
