Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
518;'s-Gravenhage;545838;03-03-2021;16-03-2021;1835;336,2;47;8,6;6;1,1
14;Groningen;232874;03-03-2021;16-03-2021;744;319,5;6;2,6;5;2,1
1729;Gulpen-Wittem;14171;03-03-2021;16-03-2021;33;232,9;0;0;0;0
158;Haaksbergen;24311;03-03-2021;16-03-2021;51;209,8;0;0;0;0
392;Haarlem;162902;03-03-2021;16-03-2021;606;372;5;3,1;2;1,2
394;Haarlemmermeer;156002;03-03-2021;16-03-2021;609;390,4;3;1,9;0;0
1655;Halderberge;30284;03-03-2021;16-03-2021;120;396,2;1;3,3;0;0
160;Hardenberg;60948;03-03-2021;16-03-2021;270;443;3;4,9;0;0
243;Harderwijk;48414;03-03-2021;16-03-2021;221;456,5;2;4,1;2;4,1
523;Hardinxveld-Giessendam;18295;03-03-2021;16-03-2021;145;792,6;0;0;4;21,9
72;Harlingen;15722;03-03-2021;16-03-2021;70;445,2;1;6,4;0;0
244;Hattem;12209;03-03-2021;16-03-2021;42;344;0;0;0;0
396;Heemskerk;39182;03-03-2021;16-03-2021;247;630,4;4;10,2;2;5,1
397;Heemstede;27234;03-03-2021;16-03-2021;61;224;0;0;0;0
246;Heerde;18589;03-03-2021;16-03-2021;47;252,8;0;0;0;0
74;Heerenveen;50493;03-03-2021;16-03-2021;142;281,2;2;4;1;2
398;Heerhugowaard;57587;03-03-2021;16-03-2021;345;599,1;0;0;1;1,7
917;Heerlen;87086;03-03-2021;16-03-2021;216;248;6;6,9;1;1,1
1658;Heeze-Leende;16152;03-03-2021;16-03-2021;99;612,9;0;0;0;0
399;Heiloo;23968;03-03-2021;16-03-2021;80;333,8;1;4,2;2;8,3
163;Hellendoorn;35916;03-03-2021;16-03-2021;193;537,4;2;5,6;0;0
530;Hellevoetsluis;40142;03-03-2021;16-03-2021;151;376,2;2;5;1;2,5
794;Helmond;92423;03-03-2021;16-03-2021;496;536,7;6;6,5;2;2,2
531;Hendrik-Ido-Ambacht;31202;03-03-2021;16-03-2021;205;657;1;3,2;0;0
164;Hengelo (O.);81140;03-03-2021;16-03-2021;172;212;1;1,2;0;0
796;'s-Hertogenbosch;155111;03-03-2021;16-03-2021;780;502,9;4;2,6;3;1,9
1966;Het Hogeland;47801;03-03-2021;16-03-2021;147;307,5;2;4,2;0;0
252;Heumen;16454;03-03-2021;16-03-2021;48;291,7;0;0;1;6,1
797;Heusden;44692;03-03-2021;16-03-2021;216;483,3;1;2,2;0;0
534;Hillegom;22209;03-03-2021;16-03-2021;62;279,2;0;0;0;0
798;Hilvarenbeek;15518;03-03-2021;16-03-2021;50;322,2;0;0;0;0
402;Hilversum;90831;03-03-2021;16-03-2021;260;286,2;3;3,3;3;3,3
1963;Hoeksche Waard;87401;03-03-2021;16-03-2021;514;588,1;5;5,7;2;2,3
1735;Hof van Twente;35017;03-03-2021;16-03-2021;121;345,5;2;5,7;1;2,9
1911;Hollands Kroon;48432;03-03-2021;16-03-2021;313;646,3;3;6,2;3;6,2
118;Hoogeveen;55699;03-03-2021;16-03-2021;145;260,3;2;3,6;0;0
405;Hoorn;73261;03-03-2021;16-03-2021;764;1042,8;5;6,8;4;5,5
1507;Horst aan de Maas;42429;03-03-2021;16-03-2021;283;667;1;2,4;0;0
321;Houten;50146;03-03-2021;16-03-2021;110;219,4;2;4;0;0
406;Huizen;41273;03-03-2021;16-03-2021;118;285,9;0;0;0;0
677;Hulst;27556;03-03-2021;16-03-2021;77;279,4;6;21,8;0;0
353;IJsselstein;34109;03-03-2021;16-03-2021;155;454,4;8;23,5;0;0
1884;Kaag en Braassem;27297;03-03-2021;16-03-2021;174;637,4;0;0;0;0
