Gemnr;Gemeente;Bev_2020;van_datum;tot_datum;Totaal_Absoluut;Totaal_inc100000;Zkh_Absoluut;Zkh_inc100000;Overleden_Absoluut;Overleden_inc100000
518;'s-Gravenhage;545838;30-09-2020;13-10-2020;3832;702;65;11,9;27;4,9
14;Groningen;232874;30-09-2020;13-10-2020;1174;504,1;6;2,6;0;0
1729;Gulpen-Wittem;14171;30-09-2020;13-10-2020;60;423,4;1;7,1;1;7,1
158;Haaksbergen;24311;30-09-2020;13-10-2020;132;543;1;4,1;2;8,2
392;Haarlem;162902;30-09-2020;13-10-2020;710;435,8;19;11,7;7;4,3
394;Haarlemmermeer;156002;30-09-2020;13-10-2020;851;545,5;10;6,4;8;5,1
1655;Halderberge;30284;30-09-2020;13-10-2020;148;488,7;3;9,9;1;3,3
160;Hardenberg;60948;30-09-2020;13-10-2020;145;237,9;2;3,3;0;0
243;Harderwijk;48414;30-09-2020;13-10-2020;156;322,2;1;2,1;0;0
523;Hardinxveld-Giessendam;18295;30-09-2020;13-10-2020;79;431,8;1;5,5;0;0
72;Harlingen;15722;30-09-2020;13-10-2020;30;190,8;0;0;0;0
244;Hattem;12209;30-09-2020;13-10-2020;29;237,5;0;0;0;0
396;Heemskerk;39182;30-09-2020;13-10-2020;173;441,5;1;2,6;3;7,7
397;Heemstede;27234;30-09-2020;13-10-2020;80;293,8;2;7,3;0;0
246;Heerde;18589;30-09-2020;13-10-2020;21;113;0;0;0;0
74;Heerenveen;50493;30-09-2020;13-10-2020;128;253,5;2;4;1;2
398;Heerhugowaard;57587;30-09-2020;13-10-2020;114;198;0;0;0;0
917;Heerlen;87086;30-09-2020;13-10-2020;105;120,6;1;1,1;0;0
1658;Heeze-Leende;16152;30-09-2020;13-10-2020;83;513,9;0;0;0;0
399;Heiloo;23968;30-09-2020;13-10-2020;54;225,3;0;0;0;0
163;Hellendoorn;35916;30-09-2020;13-10-2020;117;325,8;5;13,9;1;2,8
530;Hellevoetsluis;40142;30-09-2020;13-10-2020;160;398,6;2;5;0;0
794;Helmond;92423;30-09-2020;13-10-2020;516;558,3;7;7,6;0;0
531;Hendrik-Ido-Ambacht;31202;30-09-2020;13-10-2020;195;625;0;0;0;0
164;Hengelo (O.);81140;30-09-2020;13-10-2020;466;574,3;9;11,1;5;6,2
796;'s-Hertogenbosch;155111;30-09-2020;13-10-2020;651;419,7;7;4,5;2;1,3
1966;Het Hogeland;47801;30-09-2020;13-10-2020;156;326,4;2;4,2;0;0
252;Heumen;16454;30-09-2020;13-10-2020;119;723,2;1;6,1;2;12,2
797;Heusden;44692;30-09-2020;13-10-2020;196;438,6;1;2,2;1;2,2
534;Hillegom;22209;30-09-2020;13-10-2020;97;436,8;0;0;0;0
798;Hilvarenbeek;15518;30-09-2020;13-10-2020;49;315,8;1;6,4;0;0
402;Hilversum;90831;30-09-2020;13-10-2020;337;371;0;0;7;7,7
1963;Hoeksche Waard;87401;30-09-2020;13-10-2020;492;562,9;4;4,6;4;4,6
1735;Hof van Twente;35017;30-09-2020;13-10-2020;209;596,9;0;0;0;0
